accion_id,hallazgo_id,tipo,auditor,dependencia,accion,objetivo,indicador,unidad_medida,meta,recursos,fecha_inicio,fecha_fin,descripcion,denominacion_medida,ejecutor_login,ejecutor_name,ejecutor_email,ejecutor_rol
109,45,,rberdugo,IDEXUD,"PROYECCIÓN, ELABORACIÓN, IMPLEMENTACIÓN Y SOCIALIZACION DE LA NORMA INTERNA QUE REGULA LAS ACCIONES PRECONTRACTUAL, CONTRACTUAL, POSTCONTRACTUAL PRESUPUESTAL Y FINANCIERA.",,"ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.","ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.",100,,2018-02-13,2018-12-30,,,idexud,Director del IDEXUD,idexud@udsitrital.edu.co,2
110,46,,rberdugo,IDEXUD,"PROYECCIÓN, ELABORACIÓN, IMPLEMENTACIÓN Y SOCIALIZACION DE LA NORMA INTERNA QUE REGULA LAS ACCIONES PRECONTRACTUAL, CONTRACTUAL, POSTCONTRACTUAL PRESUPUESTAL Y FINANCIERA.",,"ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.","ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.",100,,2018-02-13,2018-12-30,,,idexud,Director del IDEXUD,idexud@udsitrital.edu.co,2
111,47,,rberdugo,IDEXUD,"PROYECCIÓN, ELABORACIÓN, IMPLEMENTACIÓN Y SOCIALIZACION DE LA NORMA INTERNA QUE REGULA LAS ACCIONES PRECONTRACTUAL, CONTRACTUAL, POSTCONTRACTUAL PRESUPUESTAL Y FINANCIERA.",,"ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.","ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.",100,,2018-02-13,2018-12-30,,,idexud,Director del IDEXUD,idexud@udsitrital.edu.co,2
112,48,,rberdugo,IDEXUD,"PROYECCIÓN, ELABORACIÓN, IMPLEMENTACIÓN Y SOCIALIZACION DE LA NORMA INTERNA QUE REGULA LAS ACCIONES PRECONTRACTUAL, CONTRACTUAL, POSTCONTRACTUAL PRESUPUESTAL Y FINANCIERA.",,"ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.","ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.",100,,2018-02-13,2018-12-30,,,idexud,Director del IDEXUD,idexud@udsitrital.edu.co,2
113,49,,rberdugo,IDEXUD,"PROYECCIÓN, ELABORACIÓN, IMPLEMENTACIÓN Y SOCIALIZACION DE LA NORMA INTERNA QUE REGULA LAS ACCIONES PRECONTRACTUAL, CONTRACTUAL, POSTCONTRACTUAL PRESUPUESTAL Y FINANCIERA.",,"ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.","ELABORACIÓN DE LA NORMATIVIDAD INTERNA PARA LOS PROCESOS PRECONTRACTUAL, CONTRACTUAL Y POSTCONTRATUAL PRELSUPUESTAL Y FINANCIERO PARA EL IDEXUD.",100,,2018-02-13,2018-12-30,,,idexud,Director del IDEXUD,idexud@udsitrital.edu.co,2
114,50,,rberdugo,OAPC,REALIZAR SEGUIMIENTO AL PLAN DE ACCIÓN TRIMESTRAL A PROYECTOS DE INVERSIÓN.,,NÚMERO DE INFORMES DE SEGUIMIENTO TRIMESTRAL REALIZADOS AL AÑO POR PROYECTO DE INVERSIÓN.,NÚMERO DE INFORMES DE SEGUIMIENTO TRIMESTRAL REALIZADOS AL AÑO POR PROYECTO DE INVERSIÓN.,100,,2018-07-27,2019-07-25,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
115,50,,rberdugo,OAPC,CONSOLIDAR Y RETROALIMENTAR EL INFORME DE SEGUIMIENTO A GESTORES Y OG DE PROYECTOS.,,REUNIONES DE RETROALIMENTACION,REUNIONES DE RETROALIMENTACION,100,,2018-07-27,2019-07-25,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
116,50,,rberdugo,OAPC,"DISEÑAR PLAN DE INTERVENCIÓN SEGÚN INFORME DE SEGUIMIENTO SEMESTRAL,  POR UNIDADES GESTORAS, QUE CONTRIBUYA AL CUMPLIMIENTO DEL PLAN DE ACCIÓN DEL PROYECTO.",,NÚMERO DE PLANES DE INTERVENCIÓN DISEÑADOS POR PROYECTO,NÚMERO DE PLANES DE INTERVENCIÓN DISEÑADOS POR PROYECTO,100,,2018-07-27,2019-07-25,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
117,51,,rberdugo,OAJ,"CULMINAR, PROCEDIMIENTOS ADMINISTRATIVOS PARA DETERMINAR LA COMPATIBILIDAD O INCOMPATIBILIDAD ENTRE LA PENSIÓN DE JUBILACIÓN OTORGADA PRIMERO POR LA UNIVERSDIAD  Y POSTERIORMENTE POR COLPENSIONES",,NÚMERO DE PROCEDIMIENTOS PENDIENTES L / NÚMERO DE PROCEDIMIENTOS CILMINADOS,NÚMERO DE PROCEDIMIENTOS PENDIENTES L / NÚMERO DE PROCEDIMIENTOS CILMINADOS,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
118,51,,rberdugo,OAJ,"AGOTAR VÍA GUBERNATIVA, RESOLVIENDO LOS RECURSOS DE REPOSICIÓN QUE SE INTERPONGAN POR LOS PENSIONADOS EN CONTRA DE ACTOS ADMINISTRATIVOS QUE DECLAREN INCOMPATIBILIDAD PENSIONAL Y ORDENEN SUBROGACIÓN",,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS   / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS   / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
119,51,,rberdugo,OAJ,ORDENAR APLICAR EN NÓMINA SUBROGACIÓN PENSIONAL EN LOS CASOS EN QUE SE CULMINADO EL PROCEDIMIENTO ADMINISTRATIVO SE DETERMINÓ LA INCOMPATIBILIDAD PENSIONAL,,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
120,52,,rberdugo,OAPC,"REALIZAR EL ACOMPAÑAMIENTO A LA OFICINA ASESORA JURIDICA PARA LA ACTUALIZACION DE PROCEDIMIENTOS DE ELABORACION / ADICION DE CONTRATOS, FIJANDO NUEVOS PUNTOS DE CONTROL, QUE PERMITAN EVIDENCIAR FALENCIAS EN LA JUSTIFICACION DE ADICION DE CONTRATOS /OTROS ",,"DOCUMENTO ACTUALIZADO, APROBADO Y PUBLICADO","DOCUMENTO ACTUALIZADO, APROBADO Y PUBLICADO",100,,2018-08-01,2019-07-25,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
121,53,,rberdugo,SG,"TOTAL DE NOTIFICACIONES EFECTUADAS/TOTAL DE NOTIFICACIOES A EFECTUAR UNA VEZ RECIBIDO EL ACTO ADMINISTRATIVO SUSCRITO POR EL RECTOR, SE ASUMIRÁ POR ESTA SECRETARÍA LA INMEDIATA NUMERACIÓN Y TRÁMITE DE NOTIFICACIÓN, YA NOTIFICADO, SE REALIZARA LA DEVOLUCIÓ",,ACTOS ADMINISTRATIVOS POR NOTIFICAR/ ACTOS ADMINISTRATIVOS NOTIFICADOS,ACTOS ADMINISTRATIVOS POR NOTIFICAR/ ACTOS ADMINISTRATIVOS NOTIFICADOS,100,,2018-01-01,2019-07-25,,,sgral,Asistente de Secretario General,sgral@udistrital.edu.co,2
122,54,,rberdugo,OAJ,"AGOTAR VÍA GUBERNATIVA, RESOLVIENDO LOS RECURSOS DE REPOSICIÓN QUE SE INTERPONGAN POR LOS PENSIONADOS EN CONTRA DE ACTOS ADMINISTRATIVOS QUE DECLAREN INCOMPATIBILIDAD PENSIONAL Y ORDENEN SUBROGACIÓN",,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
123,54,,rberdugo,OAJ,ORDENAR APLICAR EN NÓMINA SUBROGACIÓN PENSIONAL EN LOS CASOS EN QUE SE CULMINADO EL PROCEDIMIENTO ADMINISTRATIVO SE DETERMINÓ LA INCOMPATIBILIDAD PENSIONAL,,NÚMERO DE SUBROGACIONES POR APLICAR / NÚMERO DE SUBROGACIONES APLICADAS,NÚMERO DE SUBROGACIONES POR APLICAR / NÚMERO DE SUBROGACIONES APLICADAS,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
124,55,,rberdugo,OAJ,ORDENAR APLICAR EN NÓMINA SUBROGACIÓN PENSIONAL EN LOS CASOS EN QUE SE CULMINADO EL PROCEDIMIENTO ADMINISTRATIVO SE DETERMINÓ LA INCOMPATIBILIDAD PENSIONAL,,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
125,56,,rberdugo,VAF,SOLICITAR A COLPENSIONES LA INFORMACIÓN QUE SE REQUIERA PARA QUE OBRE DENTRO DE PROCEDIMIENTOS ADMINISTRATIVOS ENCAMINADOS A DETERMINAR LA COMPATIBILIDAD O INCOMPATIBILIDAD PENSIONAL,,NÚMERO DE SOLICITUDES REQUERIDAS PARA QUE COLPENSIONES ENVIE  PRUEBAS DOCUMENTALES  / NÚMERO DE SOLICITUDES REALIZADAS A  COLPENSIONES PARA  ENVIE  PRUEBAS DOCUMENTALES,NÚMERO DE SOLICITUDES REQUERIDAS PARA QUE COLPENSIONES ENVIE  PRUEBAS DOCUMENTALES  / NÚMERO DE SOLICITUDES REALIZADAS A  COLPENSIONES PARA  ENVIE  PRUEBAS DOCUMENTALES,100,,2018-08-15,2019-07-25,,,vicerrecadmin,Vicerrector administrativo,vicerrecadmin@udistrital.edu.co,2
126,57,,rberdugo,OAJ,"APERTURAR, TRAMITAR Y LLEVAR HASTA SU CULMINACIÓN, PROCEDIMIENTOS ADMINISTRATIVOS PARA DETERMINAR LA COMPATIBILIDAD O INCOMPATIBILIDAD ENTRE LA PENSIÓN DE JUBILACIÓN OTORGADA PRIMERO POR LA UNIVERSDIAD  Y POSTERIORMENTE POR COLPENSIONES",,NÚMERO DE PROCEDIMIENTOS PENDIENTES POR APERTURAR Y TRAMITAR / NÚMERO DE PROCEDIMIENTOS APERTURADOS  Y TRAMITADOS,NÚMERO DE PROCEDIMIENTOS PENDIENTES POR APERTURAR Y TRAMITAR / NÚMERO DE PROCEDIMIENTOS APERTURADOS  Y TRAMITADOS,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
127,58,,rberdugo,OAJ,"APERTURAR , TRAMITAR Y CULMINAR, PROCEDIMIENTOS ADMINISTRATIVOS PARA DETERMINAR LA COMPATIBILIDAD O INCOMPATIBILIDAD ENTRE LA PENSIÓN DE JUBILACIÓN OTORGADA PRIMERO POR LA UNIVERSDIAD  Y POSTERIORMENTE POR COLPENSIONES",,NÚMERO DE PROCEDIMIENTOS PENDIENTES POR  APERTURAR / NÚMERO DE PROCEDIMIENTOS CILMINADOS,NÚMERO DE PROCEDIMIENTOS PENDIENTES POR  APERTURAR / NÚMERO DE PROCEDIMIENTOS CILMINADOS,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
128,58,,rberdugo,OAJ,"AGOTAR VÍA GUBERNATIVA, RESOLVIENDO LOS RECURSOS DE REPOSICIÓN QUE SE INTERPONGAN POR LOS PENSIONADOS EN CONTRA DE ACTOS ADMINISTRATIVOS QUE DECLAREN INCOMPATIBILIDAD PENSIONAL Y ORDENEN SUBROGACIÓN",,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS  CONTRA  ACTOS ADMINISTRATIVOS / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN INTERPUESTOS,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS  CONTRA  ACTOS ADMINISTRATIVOS / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN INTERPUESTOS,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
129,58,,rberdugo,OAJ,ORDENAR APLICAR EN NÓMINA SUBROGACIÓN PENSIONAL EN LOS CASOS EN QUE SE CULMINADO EL PROCEDIMIENTO ADMINISTRATIVO SE DETERMINÓ LA INCOMPATIBILIDAD PENSIONAL,,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
130,59,,rberdugo,OAPC,"ASESORAR Y RECOMENDAR AL AREA ENCARGADA DE LA ETAPA PRECONTRACTUAL, EN TODO LO QUE TIENE QUE VER CON CONTRATOS DE OBRA,  LA FORMULACIÓN Y APROBACIÓN DE FORMATOS  PARA  ESTUDIOS PREVIOS.",,NÚMERO DE FORMATOS APROBADOS,NÚMERO DE FORMATOS APROBADOS,100,,2018-08-01,2019-07-25,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
131,59,,rberdugo,OAPC,REALIZAR MESAS DE TRABAJO PARA ACTUALIZAR LOS PROCEDMIENTOS EXISTENTES CON RESPECTO AL PROCESO DE INTERVENCIÓN FISICA.,,MESAS DE TRABAJO REALIZADAS,MESAS DE TRABAJO REALIZADAS,100,,2018-08-01,2019-07-25,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
132,60,,rberdugo,OAJ,"AGOTAR VÍA GUBERNATIVA, RESOLVIENDO LOS RECURSOS DE REPOSICIÓN QUE SE INTERPONGAN POR LOS PENSIONADOS EN CONTRA DE ACTOS ADMINISTRATIVOS QUE DECLAREN INCOMPATIBILIDAD PENSIONAL Y ORDENEN SUBROGACIÓN",,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
133,60,,rberdugo,OAJ,ORDENAR APLICAR EN NÓMINA SUBROGACIÓN PENSIONAL EN LOS CASOS EN QUE SE CULMINADO EL PROCEDIMIENTO ADMINISTRATIVO SE DETERMINÓ LA INCOMPATIBILIDAD PENSIONAL,,NÚMERO DE SUBROGACIONES POR APLICAR / NÚMERO DE SUBROGACIONES APLICADAS EN CASODE ENCONTRARSE EN FIRME,NÚMERO DE SUBROGACIONES POR APLICAR / NÚMERO DE SUBROGACIONES APLICADAS EN CASODE ENCONTRARSE EN FIRME,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
134,61,,rberdugo,ODO,ESTABLECER PUNTO DE CONTROL PARA REVISAR CADA SOLICITUD  ENTREGADA  POR LOS DOCENTES CONTRA LOS SOPORTES ADJUNTOS,,SOLICITUDES RADICADAS POR LOS DOCENTES / SOLICITUDES APROBADAS,SOLICITUDES RADICADAS POR LOS DOCENTES / SOLICITUDES APROBADAS,100,,2018-09-01,2019-07-25,,,docencia,Jefe de Docencia,docencia@udistrital.edu.co,2
135,62,,rberdugo,SG,"8. NUMERACIÓN Y REGISTRO DEL ACTO ADMINISTRATIVO: UNA VEZ RECIBIDO EL ACTO ADMINISTRATIVO SUSCRITO POR EL RECTOR, SE ASUMIRÁ POR ESTA SECRETARÍA LA INMEDIATA NUMERACIÓN Y TRÁMITE DE NOTIFICACIÓN, YA NOTIFICADO, SE REALIZARA LA DEVOLUCIÓN A LA DEPENDENCIA ",,ACTOS ADMINISTRATIVOS SUSCRITOS / ACTOS ADMINISTRAIVOS NUMERADOS Y NOTIFICADOS,ACTOS ADMINISTRATIVOS SUSCRITOS / ACTOS ADMINISTRAIVOS NUMERADOS Y NOTIFICADOS,100,,2018-01-01,2019-07-25,,,sgral,Asistente de Secretario General,sgral@udistrital.edu.co,2
136,63,,rberdugo,SG,"9. NOTIFICACIÓN DEL ACTO ADMINISTRATIVO: UNA VEZ RECIBIDO EL ACTO ADMINISTRATIVO SUSCRITO POR EL RECTOR, SE ASUMIRÁ POR ESTA SECRETARÍA LA INMEDIATA NUMERACIÓN Y TRÁMITE DE NOTIFICACIÓN, YA NOTIFICADO, SE REALIZARA LA DEVOLUCIÓN A LA DEPENDENCIA COMPETENT",,ACTOS ADMINISTRATIVOS SUSCRITOS / ACTOS ADMINISTRAIVOS NUMERADOS Y NOTIFICADOS,ACTOS ADMINISTRATIVOS SUSCRITOS / ACTOS ADMINISTRAIVOS NUMERADOS Y NOTIFICADOS,100,,2018-01-01,2019-07-25,,,sgral,Asistente de Secretario General,sgral@udistrital.edu.co,2
137,64,,rberdugo,AGI,LEVANTAMIENTO FÍSICO INVENTARIOS LABORATORIOS FACULTAD DE CIENCIAS Y EDUCACIÓN.,,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,100,,2018-08-15,2019-07-25,,,almacen,Jefe de Sección Almacen,almacen@udistrital.edu.co,2
138,64,,rberdugo,AGI,LEVANTAMIENTO FÍSICO INVENTARIOS LABORATORIOS FACULTAD DE INGENIERÍA,,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,100,,2018-08-15,2019-07-25,,,almacen,Jefe de Sección Almacen,almacen@udistrital.edu.co,2
139,64,,rberdugo,AGI,LEVANTAMIENTO FÍSICO INVENTARIOS LABORATORIOS FACULTAD TECNOLÓGICA,,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,100,,2018-08-15,2019-07-25,,,almacen,Jefe de Sección Almacen,almacen@udistrital.edu.co,2
140,64,,rberdugo,AGI,LEVANTAMIENTO FÍSICO INVENTARIOS LABORATORIOS FACULTAD MEDIO AMBIENTE Y RECURSOS NATURALES,,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,100,,2018-08-15,2019-07-25,,,almacen,Jefe de Sección Almacen,almacen@udistrital.edu.co,2
141,64,,rberdugo,AGI,LEVANTAMIENTO FÍSICO INVENTARIOS LABORATORIOS FACULTAD DE ARTES ASAB.,,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,INVENTARIOS REALIZADOS/INVENTARIOS  A REALIZAR,100,,2018-08-15,2019-07-25,,,almacen,Jefe de Sección Almacen,almacen@udistrital.edu.co,2
142,65,,rberdugo,OAS,REALIZAR LA INTEGRACIÓN A NIVEL DE DATOS PRIMERA FASE(CORE),,% DE AVANCE DE ESTANDARIZACIÓN DE ENTIDADES DEL ANTIGUO CORE AL NUEVO CORE,% DE AVANCE DE ESTANDARIZACIÓN DE ENTIDADES DEL ANTIGUO CORE AL NUEVO CORE,100,,2018-08-01,2019-07-25,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
143,65,,rberdugo,OAS,REALIZAR LA INTEGRACIÓN A NIVEL DE SERVICIOS PRIMERA FASE  (CATÁLOGO DE SERVICIOS),,SERVICIOS REGISTRADOS EN EL CORE /SERVICIOS CATALOGADOS,SERVICIOS REGISTRADOS EN EL CORE /SERVICIOS CATALOGADOS,100,,2018-08-01,2019-07-25,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
144,65,,rberdugo,OAS,REALIZAR LA INTEGRACIÓN A NIVEL DE USUARIO PRIMERA FASE (AUTENTICACIÓN ÚNICA E INTERFAZ ÚNICA),,AUTENTICACIÓN ÚNICA E INTERFAZ ÚNICA DESARROLLADAS / AUTENTICACIÓN ÚNICA E INTERFAZ ÚNICA PROGRAMADAS,AUTENTICACIÓN ÚNICA E INTERFAZ ÚNICA DESARROLLADAS / AUTENTICACIÓN ÚNICA E INTERFAZ ÚNICA PROGRAMADAS,100,,2018-08-01,2019-07-25,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
145,66,,rberdugo,OAJ,"AGOTAR VÍA GUBERNATIVA, RESOLVIENDO LOS RECURSOS DE REPOSICIÓN QUE SE INTERPONGAN POR LOS PENSIONADOS EN CONTRA DE ACTOS ADMINISTRATIVOS QUE DECLAREN INCOMPATIBILIDAD PENSIONAL Y ORDENEN SUBROGACIÓN",,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS  / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS  / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
146,66,,rberdugo,OAJ,ORDENAR APLICAR EN NÓMINA SUBROGACIÓN PENSIONAL EN LOS CASOS EN QUE SE CULMINADO EL PROCEDIMIENTO ADMINISTRATIVO SE DETERMINÓ LA INCOMPATIBILIDAD PENSIONAL,,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
147,67,,rberdugo,OAJ,"AGOTAR VÍA GUBERNATIVA, RESOLVIENDO LOS RECURSOS DE REPOSICIÓN QUE SE INTERPONGAN POR LOS PENSIONADOS EN CONTRA DE ACTOS ADMINISTRATIVOS QUE DECLAREN INCOMPATIBILIDAD PENSIONAL Y ORDENEN SUBROGACIÓN",,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN INTERPUESTOS,NÚMERO DE RECURSOS DE REPOSICIÓN INTERPUESTOS / NÚMERO DE RESOLUCIONES QUE RESUELVEN RECURSOS DE REPOSICIÓN INTERPUESTOS,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
148,67,,rberdugo,OAJ,ORDENAR APLICAR EN NÓMINA SUBROGACIÓN PENSIONAL EN LOS CASOS EN QUE SE CULMINADO EL PROCEDIMIENTO ADMINISTRATIVO SE DETERMINÓ LA INCOMPATIBILIDAD PENSIONAL,,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,NÚMERO DE SUBROGACIONES POR APLICAR EN CASO DE INCOMPATIBILIDAD PENSIONAL / NÚMERO DE SUBROGACIONES APLICADAS EN CASO DE INCOMPATIBILIDAD PENSIONAL,100,,2018-08-15,2019-07-25,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
149,68,,rberdugo,OAPC,INFORMAR A LA VICE ADMIN. Y FIN. Y  A PRESUPUESTO EL REQUERIMIENTO DE AVAL DE LA OAPC PARA EL TRÁMITE DE SOLICITUDES DE NECESIDAD DE PROYECTOS DE INVERSIÓN.,,COMUNICACIONES INTERNAS REMITIDAS.,COMUNICACIONES INTERNAS REMITIDAS.,100,,2018-07-27,2019-07-25,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
150,68,,rberdugo,OAPC,"REALIZAR Y REMITIR INFORME SEMESTRAL DE SEGUIMIENTO AL PLAN DE ACCIÓN Y DE EJECUCIÓN FIN. DEL PROYECTO DE INVERSIÓN AL EJECUTOR, RESALTANDO EL PRINCIPIO DE ANUALIDAD.",,NO DE INFORMES DE SEGUIMIENTO REALIZADOS EL AÑO.,NO DE INFORMES DE SEGUIMIENTO REALIZADOS EL AÑO.,100,,2018-07-27,2019-07-25,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
